ID: 0, Run: -1, Walk: 9869, Stand: 9870
ID: 1, Run: -1, Walk: 819, Stand: 808
ID: 2, Run: -1, Walk: 819, Stand: 808
ID: 3, Run: -1, Walk: 819, Stand: 808
ID: 4, Run: -1, Walk: 819, Stand: 808
ID: 5, Run: -1, Walk: 819, Stand: 808
ID: 6, Run: -1, Walk: 819, Stand: 808
ID: 7, Run: -1, Walk: 819, Stand: 808
ID: 8, Run: -1, Walk: 819, Stand: 808
ID: 9, Run: -1, Walk: 819, Stand: 808
ID: 10, Run: -1, Walk: 7165, Stand: 7167
ID: 11, Run: -1, Walk: 819, Stand: 808
ID: 12, Run: -1, Walk: 819, Stand: 808
ID: 13, Run: -1, Walk: 819, Stand: 808
ID: 14, Run: -1, Walk: 819, Stand: 808
ID: 15, Run: -1, Walk: 819, Stand: 808
ID: 16, Run: -1, Walk: 819, Stand: 808
ID: 17, Run: -1, Walk: 7165, Stand: 7167
ID: 18, Run: -1, Walk: 819, Stand: 808
ID: 19, Run: -1, Walk: 7046, Stand: 7047
ID: 20, Run: -1, Walk: 819, Stand: 808
ID: 21, Run: -1, Walk: 819, Stand: 808
ID: 22, Run: -1, Walk: 819, Stand: 808
ID: 23, Run: -1, Walk: 819, Stand: 808
ID: 24, Run: -1, Walk: 819, Stand: 808
ID: 25, Run: -1, Walk: 819, Stand: 808
ID: 26, Run: -1, Walk: 0, Stand: 2147418931
ID: 27, Run: -1, Walk: 819, Stand: 808
ID: 28, Run: -1, Walk: 819, Stand: 808
ID: 29, Run: -1, Walk: 11796, Stand: 11796
ID: 30, Run: -1, Walk: 11796, Stand: 11796
ID: 31, Run: -1, Walk: 819, Stand: 808
ID: 32, Run: -1, Walk: 819, Stand: 808
ID: 33, Run: -1, Walk: 819, Stand: 808
ID: 34, Run: -1, Walk: 819, Stand: 808
ID: 35, Run: -1, Walk: 819, Stand: 808
ID: 36, Run: -1, Walk: 819, Stand: 808
ID: 37, Run: -1, Walk: 819, Stand: 813
ID: 38, Run: -1, Walk: 819, Stand: 808
ID: 39, Run: -1, Walk: 819, Stand: 808
ID: 40, Run: -1, Walk: 0, Stand: 2147418122
ID: 41, Run: -1, Walk: 5385, Stand: 5386
ID: 42, Run: -1, Walk: 5340, Stand: 5339
ID: 43, Run: -1, Walk: 5334, Stand: 5335
