[04 maj 2018 at 01:04:20 CEST] - ::players 
[05 May 2018 at 04:09:29 PDT] - ::tele 1,38,53,46,44
[05 May 2018 at 04:09:30 PDT] - ::tele 0,38,53,46,44
[05 May 2018 at 07:43:42 PDT] - ::tele 0,49,54,31,23
[05 May 2018 at 07:43:59 PDT] - ::tele 0,49,54,30,28
[05 May 2018 at 07:44:00 PDT] - ::tele 0,49,54,30,26
[05 May 2018 at 07:44:01 PDT] - ::tele 0,49,54,30,29
[05 May 2018 at 07:44:02 PDT] - ::tele 0,49,54,30,27
[05 May 2018 at 07:44:04 PDT] - ::tele 0,49,54,30,29
[05 May 2018 at 07:44:27 PDT] - ::trade zesh
[05 maj 2018 at 11:01:46 CEST] - ::tele 0,49,54,14,36
[05 maj 2018 at 11:01:47 CEST] - ::tele 0,48,54,62,40
[05 maj 2018 at 11:01:48 CEST] - ::tele 0,48,54,46,44
[05 maj 2018 at 11:01:50 CEST] - ::tele 0,48,54,32,46
[05 maj 2018 at 11:01:52 CEST] - ::tele 0,48,54,22,40
[06 maj 2018 at 11:58:25 CEST] - ::tele 0,47,53,6,51
[06 maj 2018 at 12:06:27 CEST] - ::tele 1,47,152,11,13
[06 maj 2018 at 12:06:29 CEST] - ::tele 0,47,152,11,13
[06 maj 2018 at 12:07:15 CEST] - ::tele 0,46,153,56,49
